Original_Name,Duplicate_Name,Latitude,Longitude,Reason,Kept_Index
Fortress of Luxembourg,Festung Luxembourg (Pfaffenthal),49.6167,6.1333,Exact coordinate match,5
Kronborg Castle,Kronborg,56.0389,12.6214,Exact coordinate match,7
Citadel Hill,Fort George,44.6475,-63.5806,Exact coordinate match,8
Citadel Hill,Fort George,44.6475,-63.5806,Exact coordinate match,8
Landskrona Citadel,Landskrona Citadel,55.8833,12.85,Exact coordinate match,9
Landskrona Citadel,Landskrona Citadel,55.8833,12.85,Exact coordinate match,9
Star Fort Matara,Star Fort Matara,5.9486,80.5469,Exact coordinate match,10
Jaffna Fort,Jaffna Fort,9.6625,80.0075,Exact coordinate match,11
Galle Fort,Galle Fort,6.03,80.2167,Exact coordinate match,12
Batavia Castle,Batavia Castle,-6.1275,106.8106,Exact coordinate match,13
Fort Rotterdam,Fort Rotterdam,-5.1333,119.4056,Exact coordinate match,14
Manjarabad Fort,Manjarabad Fort,12.9667,75.75,Exact coordinate match,15
Manjarabad Fort,Manjarabad Fort,12.9667,75.75,Exact coordinate match,15
Star Fort Jhansi,Star Fort Jhansi,25.4583,78.5792,Exact coordinate match,17
Chaul Fort,Chaul Fort,18.5333,72.9167,Exact coordinate match,18
Castle of Good Hope,Castle of Good Hope,-33.9258,18.4275,Exact coordinate match,19
Castle of Good Hope,Kasteel de Goede Hoop,-33.9258,18.4275,Exact coordinate match,19
Castle of Good Hope,Kasteel de Goede Hoop,-33.9258,18.4275,Exact coordinate match,19
Castle of Good Hope,Castle of Good Hope,-33.9258,18.4275,Exact coordinate match,19
Fort Jesus,Fort Jesus,-4.0625,39.6797,Exact coordinate match,20
Elmina Castle,Elmina Castle,5.0825,-1.3481,Exact coordinate match,21
Elmina Castle,São Jorge da Mina,5.0825,-1.3481,Exact coordinate match,21
Elmina Castle,São Jorge da Mina,5.0825,-1.3481,Exact coordinate match,21
Elmina Castle,São Jorge da Mina,5.0825,-1.3481,Exact coordinate match,21
Fort São Sebastião,Fort São Sebastião,-15.0333,40.7333,Exact coordinate match,22
Fort São Sebastião,São Lourenço,-15.0333,40.7333,Exact coordinate match,22
Fort São Sebastião,São Sebastião,-15.0333,40.7333,Exact coordinate match,22
Fort São Sebastião,Fort São Lourenço Mozambique,-15.0333,40.7333,Exact coordinate match,22
Fort São Sebastião,Fort São Sebastião,-15.0333,40.7333,Exact coordinate match,22
Fort São Sebastião,Fort São Lourenço Mozambique,-15.0333,40.7333,Exact coordinate match,22
Fort São Sebastião,Fort São Sebastião,-15.0333,40.7333,Exact coordinate match,22
Fort São Sebastião,Forte de São Lourenço,-15.0333,40.7333,Exact coordinate match,22
Fort São Caetano,Fort São Pedro da Barra,-8.8,13.2333,Exact coordinate match,23
Fort São Caetano,Fort São Caetano,-8.8,13.2333,Exact coordinate match,23
Fort São Caetano,Fortaleza de São Pedro da Barra,-8.8,13.2333,Exact coordinate match,23
Fort Patience,Fort Patience,5.2833,-0.7333,Exact coordinate match,24
Fort Patience,Fort Leydsaemheyt,5.2833,-0.7333,Exact coordinate match,24
Fort Patience,Fort Leydsaemheyt,5.2833,-0.7333,Exact coordinate match,24
Fort Good Hope,Fort Good Hope,5.3833,-0.4833,Exact coordinate match,25
Fort Good Hope,Fort de Goede Hoop,5.3833,-0.4833,Exact coordinate match,25
Fort Good Hope,Fort de Goede Hoop,5.3833,-0.4833,Exact coordinate match,25
Fort Good Hope,Fort de Goede Hoop,5.3833,-0.4833,Exact coordinate match,25
Fort Good Hope,Fort de Goede Hoop,5.3833,-0.4833,Exact coordinate match,25
Fort São Miguel,Fortaleza de São Miguel,-8.8083,13.2233,Exact coordinate match,26
Fort São Miguel,Fort São Miguel,-8.8083,13.2233,Exact coordinate match,26
Fort São Miguel,Fortaleza de São Miguel,-8.8083,13.2233,Exact coordinate match,26
Fort Metal Cross,Fort Metal Cross,4.8,-1.95,Exact coordinate match,27
Fort Metal Cross,Fort Frederiksborg,4.8,-1.95,Exact coordinate match,27
Fort Metal Cross,Fort Frederiksborg,4.8,-1.95,Exact coordinate match,27
Fort Monroe,Fort Monroe,37.0036,-76.3075,Exact coordinate match,28
Fort Jay,Fort Jay,40.6911,-74.0164,Exact coordinate match,29
Fort Wood,Fort Wood,40.6892,-74.0445,Exact coordinate match,30
Castillo San Felipe del Morro,Castillo de San Felipe del Morro,18.4672,-66.1239,Exact coordinate match,31
Citadel of Quebec,Citadel of Quebec,46.8072,-71.2075,Exact coordinate match,32
Fort Independence,Fort Independence,42.34,-71.0117,Exact coordinate match,33
Fort McHenry,Fort McHenry,39.2633,-76.5797,Exact coordinate match,34
Fort McHenry,Fort McHenry,39.2633,-76.5797,Exact coordinate match,34
Castillo de San Marcos,Castillo de San Marcos,29.8978,-81.3114,Exact coordinate match,35
Fort Prince of Wales,Prince of Wales Fort,58.7972,-94.2136,Exact coordinate match,36
Fort Prince of Wales,Fort Prince of Wales,58.7972,-94.2136,Exact coordinate match,36
Fort Prince of Wales,Fort Prince of Wales,58.7972,-94.2136,Exact coordinate match,36
Fort de Bregille,Fort Griffon,47.2333,6.0333,Exact coordinate match,40
Fort de Bregille,Citadelle de Besançon,47.2333,6.0333,Exact coordinate match,40
Fort de Bregille,Fort de Bregille,47.2333,6.0333,Exact coordinate match,40
Fort de Bregille,Fort Griffon,47.2333,6.0333,Exact coordinate match,40
Fort de Chaudanne,Fort de Chaudanne,47.24,6.0167,Exact coordinate match,41
Fort de La Hougue,Fort de La Hougue,49.5833,-1.2667,Exact coordinate match,43
Fort de Tatihou,Fort de Tatihou,49.5833,-1.25,Exact coordinate match,44
Citadelle d'Entrevaux,Citadelle d'Entrevaux,44.0,6.8167,Exact coordinate match,45
Fort de Sainte-Adresse,Fort de Sainte-Adresse,49.5,0.0833,Exact coordinate match,46
Fort de Tourneville,Fort de Tourneville,49.5,0.1167,Exact coordinate match,47
Fort de la Pree,Citadelle de Saint-Martin,46.2,-1.3667,Exact coordinate match,48
Fort de la Pree,Saint-Martin-de-Ré,46.2,-1.3667,Exact coordinate match,48
Fort de la Pree,Fort de la Prée,46.2,-1.3667,Exact coordinate match,48
Fort des Salettes,Le Fort des Têtes,44.8833,6.65,Exact coordinate match,59
Fort des Salettes,Fort des Salettes,44.8833,6.65,Exact coordinate match,59
Fort des Salettes,Fort des Trois-Têtes,44.8833,6.65,Exact coordinate match,59
Fort des Salettes,Fort du Randouillet,44.8833,6.65,Exact coordinate match,59
Fort des Salettes,Fort du Dauphin,44.8833,6.65,Exact coordinate match,59
Kastellet,Kastellet,55.6911,12.5953,Exact coordinate match,65
Fredrikstad Fortress,Frederikstad Fortress,59.2167,10.95,Exact coordinate match,69
Fredrikstad Fortress,Fredrikstad Fortress,59.2167,10.95,Exact coordinate match,69
Fredriksvern,Fredriksvern,59.0,10.0333,Exact coordinate match,70
Fredriksvern,Fredriksvern,59.0,10.0333,Exact coordinate match,70
Kongsvinger Fortress,Kongsvinger Fortress,60.2,12.0,Exact coordinate match,71
Kongsvinger Fortress,Kongsvinger Fortress,60.2,12.0,Exact coordinate match,71
Kristiansten Fortress,Kristiansten Fortress,63.4333,10.4167,Exact coordinate match,72
Kristiansten Fortress,Kristiansten Fortress,63.4333,10.4167,Exact coordinate match,72
Vardøhus Fortress,Vardøhus Fortress,70.3667,31.0833,Exact coordinate match,73
Vardøhus Fortress,Vardøhus Fortress,70.3667,31.0833,Exact coordinate match,73
Daugavgr?va Fortress,Daugavgr?va Fortress,57.05,24.0333,Exact coordinate match,74
Daugavpils Fortress,Daugavpils Fortress,55.8833,26.5,Exact coordinate match,75
Daugavpils Fortress,Daugavpils Fortress,55.8833,26.5,Exact coordinate match,75
Riga Old Town,Riga Bastions,56.95,24.1167,Exact coordinate match,76
Klaip?da Castle,Lithuanian Sea Museum,55.7,21.1333,Exact coordinate match,81
Petersberg Citadel,Petersberg Citadel,50.9833,11.0333,Exact coordinate match,85
Petersberg Citadel,Petersberg Citadel,50.9833,11.0333,Exact coordinate match,85
Mainz Citadel,Mainz Citadel,50.0,8.2667,Exact coordinate match,86
Mainz Citadel,Mainz Citadel,50.0,8.2667,Exact coordinate match,86
Forte de São João Batista do Brum,Forte de São João Batista do Brum,-8.05,-34.8833,Exact coordinate match,90
Forte de São João Batista do Brum,Forte de São João Batista do Brum,-8.05,-34.8833,Exact coordinate match,90
Forte do Presépio,Forte do Presépio,-1.45,-48.5,Exact coordinate match,91
Forte do Presépio,Forte do Presépio,-1.45,-48.5,Exact coordinate match,91
Forte Príncipe da Beira,Forte Príncipe da Beira,-12.4167,-64.4167,Exact coordinate match,92
Forte Príncipe da Beira,Forte Príncipe da Beira,-12.4167,-64.4167,Exact coordinate match,92
Fortaleza de Nossa Senhora da Assunção,Fortaleza de Nossa Senhora da Assunção,-3.7167,-38.5,Exact coordinate match,93
Fortaleza de Nossa Senhora da Assunção,Fortaleza de Nossa Senhora da Assunção,-3.7167,-38.5,Exact coordinate match,93
Forte de Nossa Senhora dos Remédios,Forte de Nossa Senhora dos Remédios,-3.8333,-32.4167,Exact coordinate match,94
Forte de Nossa Senhora dos Remédios,Forte de Nossa Senhora dos Remédios,-3.8333,-32.4167,Exact coordinate match,94
Forte de Santo Inácio de Tamandaré,Forte de Santo Inácio de Tamandaré,-8.75,-35.1,Exact coordinate match,95
Forte de Santo Inácio de Tamandaré,Forte de Santo Inácio de Tamandaré,-8.75,-35.1,Exact coordinate match,95
Forte do Barbalho,Forte do Barbalho,-12.9667,-38.5167,Exact coordinate match,96
Forte do Barbalho,Forte do Barbalho,-12.9667,-38.5167,Exact coordinate match,96
Forte de São Lourenço,Forte de São Lourenço,-12.8833,-38.6833,Exact coordinate match,97
Forte de São Lourenço,Forte de São Lourenço,-12.8833,-38.6833,Exact coordinate match,97
Fortaleza de Santa Cruz da Barra,Fortaleza de Santa Cruz da Barra,-22.8833,-43.1167,Exact coordinate match,98
Fortaleza de Santa Cruz da Barra,Fortaleza de Santa Cruz da Barra,-22.8833,-43.1167,Exact coordinate match,98
Fortaleza de Santo Antônio de Ratones,Fortaleza de Santo Antônio de Ratones,-27.5833,-48.5667,Exact coordinate match,99
Fortaleza de Santo Antônio de Ratones,Fortaleza de Santo Antônio de Ratones,-27.5833,-48.5667,Exact coordinate match,99
Bihu Loukon,Bihu Loukon,24.8167,93.95,Exact coordinate match,101
Fort St. George,Fort St. George,13.0833,80.2833,Exact coordinate match,102
Fort St. George,Fort St. George,13.0833,80.2833,Exact coordinate match,102
Fort William,Fort William,22.5667,88.35,Exact coordinate match,103
Fort William,Fort William,22.5667,88.35,Exact coordinate match,103
Forte de Santa Luzia,Nossa Senhora da Graça Fort,38.8833,-7.1667,Exact coordinate match,110
Forte de Santa Luzia,Fortaleza de Nossa Senhora da Graça,38.8833,-7.1667,Exact coordinate match,110
Fort Victoria,Fort Amsterdam,-3.7,128.1833,Exact coordinate match,116
Fort Victoria,Fort Victoria,-3.7,128.1833,Exact coordinate match,116
Fort Victoria,Fort Amsterdam,-3.7,128.1833,Exact coordinate match,116
Fort Nassau,Fort Belgica,-4.5167,129.8833,Exact coordinate match,118
Fort Nassau,Fort Revenge,-4.5167,129.8833,Exact coordinate match,118
Fort Nassau,Fort Hollandia,-4.5167,129.8833,Exact coordinate match,118
Fort Nassau,Fort Belgica,-4.5167,129.8833,Exact coordinate match,118
Fort Nassau,Fort Nassau,-4.5167,129.8833,Exact coordinate match,118
Fort Nassau,Fort Revenge,-4.5167,129.8833,Exact coordinate match,118
Fort Nassau,Fort Hollandia,-4.5167,129.8833,Exact coordinate match,118
Fort Oranje,Fort Oranje,-0.7833,127.3833,Exact coordinate match,122
Fort Marlborough,Fort Marlborough,-3.7833,-102.25,Exact coordinate match,123
Fort Marlborough,Fort Marlborough,-3.7833,-102.25,Exact coordinate match,123
Fort Cornwallis,Fort Cornwallis,5.4167,100.3333,Exact coordinate match,125
Gory?kaku,Shiry?kaku,41.8,140.75,Exact coordinate match,126
Gory?kaku,Gory?kaku,41.8,140.75,Exact coordinate match,126
Gory?kaku,Shiry?kaku,41.8,140.75,Exact coordinate match,126
Gory?kaku,Shiry?kaku,41.8,140.75,Exact coordinate match,126
Hekirichi Bastion Fort,Hekirichi Bastion Fort,41.8167,140.65,Exact coordinate match,127
Tatsuoka Castle,Tatsuoka Castle,36.2,138.4833,Exact coordinate match,128
Tatsuoka Castle,Tatsuoka Castle,36.2,138.4833,Exact coordinate match,128
Forte de Barém,Forte de Barém,26.2333,50.5333,Exact coordinate match,134
Fort São Filipe,Fort São Filipe de Benguela,-12.5833,13.4,Exact coordinate match,140
Fort São Francisco do Penedo,Fort São Francisco do Penedo,-15.2,12.15,Exact coordinate match,141
Fort São Francisco do Penedo,Fortaleza de São José de Mossâmedes,-15.2,12.15,Exact coordinate match,141
Quicombo Fort,Fort Quicombo,-12.3667,13.7833,Exact coordinate match,142
Fort São José,Fort São José de Encoje,-6.2667,14.25,Exact coordinate match,143
Santo António,São João Baptista,-12.3333,40.5833,Exact coordinate match,160
Santo António,São José,-12.3333,40.5833,Exact coordinate match,160
Santo António,Fort Santo António Ibo,-12.3333,40.5833,Exact coordinate match,160
Santo António,Fort São João Baptista Ibo,-12.3333,40.5833,Exact coordinate match,160
Santo António,Fort São José Ibo,-12.3333,40.5833,Exact coordinate match,160
Santo António,Fort Santo António Ibo,-12.3333,40.5833,Exact coordinate match,160
Santo António,Fort São João Baptista Ibo,-12.3333,40.5833,Exact coordinate match,160
Santo António,Fort São José Ibo,-12.3333,40.5833,Exact coordinate match,160
Santo António,Forte de São João Baptista,-12.3333,40.5833,Exact coordinate match,160
Santo António,Forte de Santo António,-12.3333,40.5833,Exact coordinate match,160
Santo António,Forte de São José,-12.3333,40.5833,Exact coordinate match,160
São Marçal,Fort São Marçal,-25.9667,32.4667,Exact coordinate match,165
São Marçal,Fort São Marçal,-25.9667,32.4667,Exact coordinate match,165
São Tiago Maior,Fort São Tiago Maior,-23.8667,35.35,Exact coordinate match,167
São Tiago Maior,Fort São Tiago Maior,-23.8667,35.35,Exact coordinate match,167
São João Baptista de Ajudá,Fort São João Baptista de Ajudá,6.3667,-2.0833,Exact coordinate match,169
Fort Anne,Fort Anne,44.7417,-65.5183,Exact coordinate match,197
Fort Beauséjour,Fort Beauséjour,45.8667,-64.2833,Exact coordinate match,198
Fort Beauséjour,Fort Beauséjour,45.8667,-64.2833,Exact coordinate match,198
Fort Plaisance,Fort Royal,47.25,-53.9667,Exact coordinate match,203
Fort Plaisance,Fort Saint Louis,47.25,-53.9667,Exact coordinate match,203
Fort William,Fort William,47.5667,-52.7,Exact coordinate match,206
Castillo San Salvador de la Punta,Castillo de la Real Fuerza,23.1333,-82.35,Exact coordinate match,208
Castillo de los Tres Reyes Magos del Morro,Fortaleza de San Carlos de la Cabaña,23.15,-82.35,Exact coordinate match,209
Fort San Cristóbal,Castillo San Cristóbal,18.4667,-66.1167,Exact coordinate match,214
Fort Pulaski,Fort Pulaski,32.0333,-80.9,Exact coordinate match,240
Citadelle de Lille,Citadelle de Lille,50.6333,3.0667,Exact coordinate match,257
Festung Ehrenbreitstein,Festung Ehrenbreitstein,50.3667,7.6167,Exact coordinate match,302
Festung Koblenz,Festung Koblenz,50.35,7.6,Exact coordinate match,303
Festung Ulm,Festung Ulm,48.4,9.9833,Exact coordinate match,304
Festung Ingolstadt,Festung Ingolstadt,48.7667,11.4333,Exact coordinate match,305
Festung Germersheim,Festung Germersheim,49.2167,8.3667,Exact coordinate match,306
