ID,Name,Latitude,Longitude,Country,City
1,Baluard de la Reina,41.618035,0.6276388,,
2,Baluard de Louvigny,41.6191614,0.6270318,,
3,Baluard del Rei,41.6181617,0.6247702,,
4,Baluard de l'Assumpció,41.6173385,0.6263569,,
5,Baluard de la Mitja Lluna,41.6176419,0.6254325,,
6,Simibaluard Baix del Rei,41.6179233,0.624458,,
7,Punta de Diamant,41.6174699,0.6239894,,
8,Simibaluard Baix de Louvigny,41.6188944,0.6259533,,
10,,43.5102302,16.4383404,,
11,,43.5099136,16.4408079,,
12,,43.5101402,16.4412058,,
13,,43.5102004,16.4398687,,
14,,43.5104728,16.4398643,,
15,,43.5106125,16.4400047,,
16,,43.5108058,16.4409465,,
17,,43.5108937,16.4407389,,
18,,43.5103238,16.437122,,
19,,43.5105324,16.4383726,,
20,,43.510644,16.4380304,,
21,,43.5107325,16.4377283,,
22,,43.5108634,16.43728,,
23,,43.510311,16.4371776,,
24,,43.510797,16.4373363,,
25,,43.510688,16.4377114,,
26,,43.5102345,16.4382898,,
27,,43.510611,16.4380104,,
28,,43.510511,16.4383324,,
29,,43.5099538,16.4406654,,
30,,43.5102202,16.4400906,,
31,,43.5101443,16.4405622,,
35,Naarden,52.295,5.16,Netherlands,
36,Italy,45.9056,13.31,Italy,
37,North,49.6167,6.1333,Luxembourg,
38,Suomenlinna Sveaborg,60.1472,25.0,Finland,
39,Elsinore,56.0389,12.6214,Denmark,
40,Fort George,44.6475,-63.5806,Canada,
41,Sweden,55.8833,12.85,Sweden,
42,Neuf-Brisach,48.0178,7.5281,,
43,Sri Lanka Southern,5.9486,80.5469,Sri Lanka,
44,Jaffna,9.6625,80.0075,,
45,Galle,6.03,80.2167,,
46,Kasteel,-6.1275,106.8106,Indonesia,
47,Indonesia South,-5.1333,119.4056,Indonesia,
48,Fort,12.9667,75.75,India,
49,Aguada Fort N,15.4922,73.7725,India,
50,India,25.4583,78.5792,India,
51,Revdanda,18.5333,72.9167,India,
52,Asia,39.9167,116.3972,,
53,Goede Hoop,-33.9258,18.4275,South Africa,
54,Kenya,-4.0625,39.6797,Kenya,
