ID,Name,Country,Latitude,Longitude,cyan,magenta,yellow,black,earthResonance,activeLayer,layerFrequency,layerDepth,tectonicZone,tectonicAmplification,isDeepSubduction,pWaveVelocity,red,green,blue,spaceResonance,angleOfIncidence,ionosphericHeight,solarDeclination,solarElevation,hourAngle,lagTimeHours,solarFluxFactor,solarCyclePhase,compositeResonance,earthSpaceCoupling,timestamp,nearbyEarthquakes
1,Citadel of Alessandria,Italy,44.9203,8.6064,0.6953,0.6077,0.8009,0.5556,0.4806,upper_crust,20.8,10,MEDITERRANEAN_ALPINE,1.5,False,6.3857,0.3652,0.3893,0.3098,0.1656,90.0,84.3453,-10.511,-21.4255,109.8564,21.9965,0.1845,0.5665,0.3231,0.0796,2026-02-23T18:45:45.940444,0
2,Alba Carolina Citadel,Romania,46.075,23.5708,0.7168,0.6037,0.7991,0.5556,0.4865,upper_crust,20.8,10,MEDITERRANEAN_ALPINE,1.5,False,6.3857,0.3486,0.4039,0.3105,0.1628,90.0,84.4385,-10.511,-31.3902,124.8208,22.0478,0.1845,0.5665,0.3246,0.0792,2026-02-23T18:45:45.940444,1
3,Fort Bourtange,Netherlands,53.0067,7.1922,0.6953,0.5004,0.7592,0.4073,0.4492,upper_crust,20.8,10,,1.0,False,6.3857,0.3685,0.4886,0.2962,0.1798,90.0,84.067,-10.511,-19.4426,108.4422,22.3559,0.1845,0.5665,0.3145,0.0808,2026-02-23T18:45:45.940444,0
4,Naarden,Netherlands,52.295,5.16,0.6953,0.5035,0.7612,0.4073,0.4501,upper_crust,20.8,10,,1.0,False,6.3857,0.3704,0.4805,0.2964,0.1791,90.0,84.074,-10.511,-18.3132,106.41,22.3242,0.1845,0.5665,0.3146,0.0806,2026-02-23T18:45:45.940444,0
5,Palmanova,Italy,45.9056,13.31,0.7136,0.6037,0.7988,0.5556,0.4854,upper_crust,20.8,10,MEDITERRANEAN_ALPINE,1.5,False,6.3857,0.36,0.4015,0.3098,0.1657,90.0,84.3555,-10.511,-24.5437,114.56,22.0402,0.1845,0.5665,0.3256,0.0804,2026-02-23T18:45:45.940444,2
6,Fortress of Luxembourg,Luxembourg,49.6167,6.1333,0.6953,0.6135,0.7755,0.5556,0.4784,upper_crust,20.8,10,MEDITERRANEAN_ALPINE,1.5,False,6.3857,0.3689,0.4482,0.3012,0.1742,90.0,84.1732,-10.511,-19.2249,107.3833,22.2052,0.1845,0.5665,0.3263,0.0833,2026-02-23T18:45:45.940444,0
7,Suomenlinna,Finland,60.1472,25.0,0.6953,0.4912,0.7261,0.4073,0.4429,upper_crust,20.8,10,,1.0,False,6.3857,0.3566,0.5669,0.287,0.1887,90.0,83.9609,-10.511,-26.5909,126.25,22.6732,0.1845,0.5665,0.3158,0.0836,2026-02-23T18:45:45.940444,0
8,Kronborg Castle,Denmark,56.0389,12.6214,0.6953,0.4924,0.7467,0.4073,0.446,upper_crust,20.8,10,,1.0,False,6.3857,0.3643,0.5228,0.2929,0.1838,90.0,84.0065,-10.511,-21.9367,113.8714,22.4906,0.1845,0.5665,0.3149,0.082,2026-02-23T18:45:45.940444,0
9,Citadel Hill,Canada,44.6475,-63.5806,0.6953,0.6098,0.8063,0.4073,0.4777,upper_crust,20.8,10,,1.0,False,6.3857,0.4429,0.4204,0.3084,0.2239,67.4231,83.7518,-10.511,25.1821,37.6694,18.9741,0.1845,0.5665,0.3508,0.107,2026-02-23T18:45:45.940444,0
10,Landskrona Citadel,Sweden,55.8833,12.85,0.6953,0.492,0.7476,0.4073,0.4461,upper_crust,20.8,10,,1.0,False,6.3857,0.3641,0.521,0.2932,0.1835,90.0,84.0141,-10.511,-22.0991,114.1,22.4837,0.1845,0.5665,0.3148,0.0819,2026-02-23T18:45:45.940444,0
11,Star Fort Matara,Sri Lanka,5.9486,80.5469,0.6953,0.4912,0.9,0.4073,0.4688,upper_crust,20.8,10,,1.0,False,6.3857,0.2591,0.0067,0.3383,0.1042,90.0,85.0,-10.511,-85.1034,181.7969,20.2644,0.1845,0.5665,0.2865,0.0488,2026-02-23T18:45:45.940444,0
12,Jaffna Fort,Sri Lanka,9.6625,80.0075,0.6953,0.4912,0.8977,0.4073,0.4684,upper_crust,20.8,10,,1.0,False,6.3857,0.2534,0.022,0.3379,0.1024,90.0,85.0,-10.511,-88.4991,181.2575,20.4294,0.1845,0.5665,0.2854,0.048,2026-02-23T18:45:45.940444,0
13,Galle Fort,Sri Lanka,6.03,80.2167,0.6953,0.4912,0.8989,0.4073,0.4686,upper_crust,20.8,10,,1.0,False,6.3857,0.2588,0.0069,0.3378,0.104,90.0,85.0,-10.511,-85.2899,181.4667,20.268,0.1845,0.5665,0.2863,0.0487,2026-02-23T18:45:45.940444,0
14,Batavia Castle,Indonesia,-6.1275,106.8106,0.7221,0.6262,1.0,0.5597,0.5227,upper_crust,20.8,10,RING_OF_FIRE,1.8,True,6.3857,0.3051,0.0124,0.358,0.1204,90.0,85.0,-10.511,-57.4811,208.0606,20.2723,0.1845,0.5665,0.3216,0.0629,2026-02-23T18:45:45.940444,2
15,Fort Rotterdam,Indonesia,-5.1333,119.4056,0.7211,0.6262,1.0,0.6806,0.5264,upper_crust,20.8,10,RING_OF_FIRE,1.8,True,6.3857,0.3232,0.0063,0.356,0.1263,90.0,85.0,-10.511,-46.6018,220.6556,20.2281,0.1845,0.5665,0.3263,0.0665,2026-02-23T18:45:45.940444,2
