ID,Name,Country,Latitude,Longitude,cyan,magenta,yellow,black,earthResonance,activeLayer,layerFrequency,layerDepth,tectonicZone,tectonicAmplification,isDeepSubduction,pWaveVelocity,red,green,blue,spaceResonance,angleOfIncidence,ionosphericHeight,solarDeclination,solarElevation,hourAngle,lagTimeHours,solarFluxFactor,solarCyclePhase,compositeResonance,earthSpaceCoupling,timestamp,nearbyEarthquakes,classification,confidence_score
98,Fort Marlborough,Indonesia,-3.7833,-102.25,0.7275,0.7439,0.8583,0.5707,0.5294,upper_crust,20.8,10,RING_OF_FIRE,1.8,False,6.3857,0.5396,0.0015,0.3148,0.2845,7.0889,84.216,-10.511,83.1996,-1.0,9.1133,0.1845,0.5665,0.4069,0.1506,2026-02-23T18:45:45.940444,1,TIER_1_VERIFIED,3.363
37,Fort Prince of Wales,Canada,58.7972,-94.2136,0.6953,0.801,0.7056,0.6806,0.5184,upper_crust,20.8,10,RING_OF_FIRE,1.8,False,6.3857,0.435,0.5979,0.2707,0.2401,73.0032,83.0625,-10.511,20.457,7.0364,20.347,0.1845,0.5665,0.3792,0.1245,2026-02-23T18:45:45.940444,0,TIER_1_VERIFIED,2.1379
77,Forte Príncipe da Beira,Brazil,-12.4167,-64.4167,0.6953,0.5572,0.952,0.4073,0.4892,upper_crust,20.8,10,,1.0,False,6.3857,0.4907,0.0545,0.359,0.2475,36.8703,84.4085,-10.511,53.8787,36.8333,13.4679,0.1845,0.5665,0.3684,0.1211,2026-02-23T18:45:45.940444,0,TIER_1_VERIFIED,1.8257
132,Castillo de los Tres Reyes Magos del Morro,Cuba,23.15,-82.35,0.6953,0.6189,0.8798,0.4073,0.4903,upper_crust,20.8,10,,1.0,False,6.3857,0.4869,0.1621,0.3293,0.2465,39.7816,84.1403,-10.511,51.5905,18.9,14.3331,0.1845,0.5665,0.3684,0.1209,2026-02-23T18:45:45.940444,0,TIER_1_VERIFIED,1.8208
133,Castillo del Príncipe,Cuba,23.1167,-82.4167,0.6953,0.619,0.8797,0.4073,0.4903,upper_crust,20.8,10,,1.0,False,6.3857,0.487,0.1617,0.3293,0.2465,39.7197,84.1405,-10.511,51.6505,18.8333,14.3234,0.1845,0.5665,0.3684,0.1209,2026-02-23T18:45:45.940444,0,TIER_1_VERIFIED,1.8208
131,Castillo San Salvador de la Punta,Cuba,23.1333,-82.35,0.6953,0.6189,0.8798,0.4073,0.4903,upper_crust,20.8,10,,1.0,False,6.3857,0.4869,0.1619,0.3293,0.2465,39.7663,84.1406,-10.511,51.6048,18.9,14.3303,0.1845,0.5665,0.3684,0.1209,2026-02-23T18:45:45.940444,0,TIER_1_VERIFIED,1.8208
134,Castillo de San Severino,Cuba,23.05,-81.5667,0.6953,0.6178,0.8819,0.4073,0.4904,upper_crust,20.8,10,,1.0,False,6.3857,0.4864,0.1603,0.3302,0.2459,40.0655,84.1472,-10.511,51.3003,19.6833,14.3665,0.1845,0.5665,0.3681,0.1206,2026-02-23T18:45:45.940444,0,TIER_1_VERIFIED,1.8071
146,Fort Jackson,USA,29.35,-89.45,0.6953,0.6346,0.8414,0.4073,0.488,upper_crust,20.8,10,,1.0,False,6.3857,0.4818,0.2439,0.3145,0.2468,43.1867,83.9754,-10.511,48.5463,11.8,15.0627,0.1845,0.5665,0.3674,0.1204,2026-02-23T18:45:45.940444,0,TIER_1_VERIFIED,1.7874
147,Fort Macomb,USA,30.0667,-89.8,0.6953,0.6358,0.838,0.4073,0.4878,upper_crust,20.8,10,,1.0,False,6.3857,0.4808,0.2534,0.3133,0.2466,43.8221,83.9577,-10.511,47.9525,11.45,15.1792,0.1845,0.5665,0.3672,0.1203,2026-02-23T18:45:45.940444,0,TIER_1_VERIFIED,1.7807
151,Fort Pike,USA,30.1667,-89.7333,0.6953,0.6358,0.8378,0.4073,0.4878,upper_crust,20.8,10,,1.0,False,6.3857,0.4806,0.2546,0.3133,0.2465,43.9403,83.956,-10.511,47.84,11.5167,15.1994,0.1845,0.5665,0.3671,0.1202,2026-02-23T18:45:45.940444,0,TIER_1_VERIFIED,1.7761
145,Fort Gaines,USA,30.25,-88.0833,0.6953,0.6337,0.8412,0.4073,0.4878,upper_crust,20.8,10,,1.0,False,6.3857,0.4798,0.2544,0.3149,0.2457,44.4674,83.9644,-10.511,47.3167,13.1667,15.2734,0.1845,0.5665,0.3668,0.1199,2026-02-23T18:45:45.940444,0,TIER_1_VERIFIED,1.7624
150,Fort Morgan,USA,30.2333,-88.0167,0.6953,0.6336,0.8414,0.4073,0.4878,upper_crust,20.8,10,,1.0,False,6.3857,0.4798,0.2542,0.315,0.2457,44.4697,83.9652,-10.511,47.3134,13.2333,15.273,0.1845,0.5665,0.3668,0.1199,2026-02-23T18:45:45.940444,0,TIER_1_VERIFIED,1.7624
138,Fort Barrancas,USA,30.35,-87.3,0.6953,0.6327,0.8425,0.4073,0.4878,upper_crust,20.8,10,,1.0,False,6.3857,0.4792,0.2551,0.3156,0.2452,44.796,83.9671,-10.511,46.9934,13.95,15.3217,0.1845,0.5665,0.3665,0.1196,2026-02-23T18:45:45.940444,0,TIER_1_VERIFIED,1.7487
36,Castillo de San Marcos,USA,29.8978,-81.3114,0.6953,0.6241,0.8565,0.4073,0.488,upper_crust,20.8,10,,1.0,False,6.3857,0.4763,0.2447,0.3219,0.2415,46.4963,84.0158,-10.511,45.2631,19.9386,15.5283,0.1845,0.5665,0.3648,0.1179,2026-02-23T18:45:45.940444,0,TIER_1_VERIFIED,1.6712
139,Fort Caroline,USA,30.3833,-81.5,0.6953,0.6249,0.8542,0.4073,0.4878,upper_crust,20.8,10,,1.0,False,6.3857,0.4758,0.251,0.3211,0.2415,46.8751,84.0039,-10.511,44.9124,19.75,15.6004,0.1845,0.5665,0.3647,0.1178,2026-02-23T18:45:45.940444,0,TIER_1_VERIFIED,1.6666
137,Fortín San Juan de la Cruz,Puerto Rico,18.4667,-66.1667,0.7158,0.5925,0.9264,0.285,0.4961,upper_crust,20.8,10,,1.0,False,6.3857,0.4757,0.0997,0.3492,0.2331,46.2337,84.3254,-10.511,44.8597,35.0833,14.9852,0.1845,0.5665,0.3646,0.1156,2026-02-23T18:45:45.940444,5,TIER_1_VERIFIED,1.6107
32,Castillo San Felipe del Morro,Puerto Rico,18.4672,-66.1239,0.7158,0.5925,0.9265,0.285,0.4961,upper_crust,20.8,10,,1.0,False,6.3857,0.4756,0.0997,0.3492,0.233,46.2664,84.3257,-10.511,44.827,35.1261,14.9896,0.1845,0.5665,0.3645,0.1156,2026-02-23T18:45:45.940444,5,TIER_1_VERIFIED,1.6086
135,Fort San Cristóbal,Puerto Rico,18.4667,-66.1167,0.7158,0.5925,0.9265,0.285,0.4961,upper_crust,20.8,10,,1.0,False,6.3857,0.4756,0.0997,0.3492,0.233,46.2715,84.3258,-10.511,44.8218,35.1333,14.9903,0.1845,0.5665,0.3645,0.1156,2026-02-23T18:45:45.940444,5,TIER_1_VERIFIED,1.6086
153,Fort San Carlos,USA,30.6667,-81.4667,0.6953,0.6251,0.8531,0.4073,0.4877,upper_crust,20.8,10,,1.0,False,6.3857,0.4753,0.2546,0.3207,0.2413,47.1553,83.9978,-10.511,44.6486,19.7833,15.6503,0.1845,0.5665,0.3645,0.1177,2026-02-23T18:45:45.940444,0,TIER_1_VERIFIED,1.6599
136,Fort Conde de Mirasol,Puerto Rico,18.15,-65.4333,0.7158,0.5912,0.9284,0.285,0.4962,upper_crust,20.8,10,,1.0,False,6.3857,0.4751,0.0961,0.35,0.2323,46.5843,84.3351,-10.511,44.4905,35.8167,15.0179,0.1845,0.5665,0.3642,0.1153,2026-02-23T18:45:45.940444,5,TIER_1_VERIFIED,1.5949
152,Fort Pulaski,USA,32.0333,-80.9,0.6953,0.6256,0.8485,0.4073,0.4871,upper_crust,20.8,10,,1.0,False,6.3857,0.4729,0.2718,0.3193,0.2404,48.668,83.9706,-10.511,43.2145,20.35,15.9128,0.1845,0.5665,0.3638,0.1171,2026-02-23T18:45:45.940444,0,TIER_1_VERIFIED,1.6304
154,Fort Sumter,USA,32.75,-79.8667,0.6953,0.6248,0.8473,0.4073,0.4867,upper_crust,20.8,10,,1.0,False,6.3857,0.4712,0.2803,0.3192,0.2393,49.7547,83.9607,-10.511,42.1687,21.3833,16.0895,0.1845,0.5665,0.363,0.1165,2026-02-23T18:45:45.940444,0,TIER_1_VERIFIED,1.5988
140,Fort Delgrès,Guadeloupe (France),15.9833,-61.7167,0.7097,0.5841,0.9398,0.4073,0.497,upper_crust,20.8,10,,1.0,False,6.3857,0.4721,0.0735,0.3546,0.2289,48.2016,84.3904,-10.511,42.7473,39.5333,15.1372,0.1845,0.5665,0.3629,0.1138,2026-02-23T18:45:45.940444,3,TIER_1_VERIFIED,1.5307
113,Fort James,Antigua and Barbuda,17.1167,-61.8333,0.7097,0.5853,0.9351,0.4073,0.4965,upper_crust,20.8,10,,1.0,False,6.3857,0.4713,0.084,0.3528,0.2282,48.7724,84.3755,-10.511,42.241,39.4167,15.2637,0.1845,0.5665,0.3624,0.1133,2026-02-23T18:45:45.940444,3,TIER_1_VERIFIED,1.5079
141,Fort Desaix,Martinique (France),14.6,-61.0667,0.6953,0.5819,0.9457,0.4073,0.493,upper_crust,20.8,10,,1.0,False,6.3857,0.4724,0.0611,0.3568,0.2291,47.954,84.4112,-10.511,42.916,40.1833,15.0428,0.1845,0.5665,0.361,0.1129,2026-02-23T18:45:45.940444,0,TIER_1_VERIFIED,1.4684
148,Fort Macon,USA,34.7,-76.6833,0.6953,0.6219,0.8436,0.4073,0.4856,upper_crust,20.8,10,,1.0,False,6.3857,0.4661,0.3031,0.3187,0.2363,52.8863,83.935,-10.511,39.1479,24.5667,16.5937,0.1845,0.5665,0.3609,0.1147,2026-02-23T18:45:45.940444,0,TIER_1_VERIFIED,1.5103
29,Fort Monroe,USA,37.0036,-76.3075,0.6953,0.6233,0.8337,0.4073,0.4845,upper_crust,20.8,10,,1.0,False,6.3857,0.4626,0.3327,0.3156,0.2355,55.1425,83.8787,-10.511,37.0254,24.9425,16.9969,0.1845,0.5665,0.36,0.1141,2026-02-23T18:45:45.940444,0,TIER_1_VERIFIED,1.4765
144,Fort Frederick,USA,39.6167,-78.0,0.6953,0.6279,0.8194,0.4073,0.4834,upper_crust,20.8,10,,1.0,False,6.3857,0.4599,0.3678,0.3106,0.2366,56.9009,83.7965,-10.511,35.4204,23.25,17.3475,0.1845,0.5665,0.36,0.1144,2026-02-23T18:45:45.940444,0,TIER_1_VERIFIED,1.4838
143,Fort Erie,Canada,42.9167,-79.0167,0.6953,0.632,0.8027,0.4073,0.482,upper_crust,20.8,10,,1.0,False,6.3857,0.4556,0.4105,0.3049,0.2371,59.6743,83.6947,-10.511,32.8404,22.2333,17.864,0.1845,0.5665,0.3595,0.1143,2026-02-23T18:45:45.940444,0,TIER_1_VERIFIED,1.4708
35,Fort McHenry,USA,39.2633,-76.5797,0.6953,0.6255,0.8229,0.4073,0.4834,upper_crust,20.8,10,,1.0,False,6.3857,0.4596,0.3621,0.312,0.2355,57.1078,83.816,-10.511,35.1919,24.6703,17.3594,0.1845,0.5665,0.3594,0.1138,2026-02-23T18:45:45.940444,0,TIER_1_VERIFIED,1.4565
127,Fort George,Canada,43.25,-79.0667,0.6953,0.6323,0.801,0.4073,0.4818,upper_crust,20.8,10,,1.0,False,6.3857,0.4552,0.4147,0.3044,0.2371,59.9768,83.6844,-10.511,32.5575,22.1833,17.9191,0.1845,0.5665,0.3594,0.1142,2026-02-23T18:45:45.940444,0,TIER_1_VERIFIED,1.4662
128,Fort Mississauga,Canada,43.2667,-79.0833,0.6953,0.6323,0.8009,0.4073,0.4818,upper_crust,20.8,10,,1.0,False,6.3857,0.4551,0.4149,0.3044,0.2371,59.9875,83.6838,-10.511,32.5479,22.1667,17.9213,0.1845,0.5665,0.3594,0.1142,2026-02-23T18:45:45.940444,0,TIER_1_VERIFIED,1.4662
149,Fort Mifflin,USA,39.8667,-75.2167,0.6953,0.624,0.8217,0.4073,0.4829,upper_crust,20.8,10,,1.0,False,6.3857,0.4578,0.3688,0.3119,0.2344,58.1982,83.8086,-10.511,34.1358,26.0333,17.5316,0.1845,0.5665,0.3587,0.1132,2026-02-23T18:45:45.940444,0,TIER_1_VERIFIED,1.4269
31,Fort Wood,USA,40.6892,-74.0445,0.6953,0.6229,0.8191,0.4073,0.4823,upper_crust,20.8,10,,1.0,False,6.3857,0.4558,0.3784,0.3112,0.2334,59.4163,83.7935,-10.511,32.9649,27.2055,17.7306,0.1845,0.5665,0.3579,0.1126,2026-02-23T18:45:45.940444,0,TIER_1_VERIFIED,1.3953
30,Fort Jay,USA,40.6911,-74.0164,0.6953,0.6229,0.8191,0.4073,0.4823,upper_crust,20.8,10,,1.0,False,6.3857,0.4558,0.3784,0.3112,0.2333,59.4294,83.7937,-10.511,32.9519,27.2336,17.7324,0.1845,0.5665,0.3578,0.1125,2026-02-23T18:45:45.940444,0,TIER_1_VERIFIED,1.3908
142,Fort Diamant,French Guiana,4.8833,-52.2667,0.6953,0.5605,0.9689,0.4073,0.4926,upper_crust,20.8,10,,1.0,False,6.3857,0.4657,0.0043,0.3659,0.2222,51.458,84.5505,-10.511,38.8582,48.9833,15.0781,0.1845,0.5665,0.3574,0.1095,2026-02-23T18:45:45.940444,0,TIER_1_VERIFIED,1.309
34,Fort Independence,USA,42.34,-71.0117,0.6953,0.6196,0.8139,0.4073,0.4809,upper_crust,20.8,10,,1.0,False,6.3857,0.4515,0.397,0.31,0.2307,62.1437,83.7671,-10.511,30.3318,30.2383,18.1676,0.1845,0.5665,0.3558,0.1109,2026-02-23T18:45:45.940444,0,TIER_1_VERIFIED,1.3092
33,Citadel of Quebec,Canada,46.8072,-71.2075,0.6953,0.6229,0.7916,0.4073,0.4785,upper_crust,20.8,10,,1.0,False,6.3857,0.4454,0.4526,0.3028,0.2311,66.0219,83.629,-10.511,26.7156,30.0425,18.8832,0.1845,0.5665,0.3548,0.1106,2026-02-23T18:45:45.940444,0,TIER_1_VERIFIED,1.2807
76,Forte do Presépio,Brazil,-1.45,-48.5,0.6953,0.5492,0.9613,0.4073,0.4892,upper_crust,20.8,10,,1.0,False,6.3857,0.4623,0.003,0.3625,0.2187,53.2831,84.5885,-10.511,36.8386,52.75,15.1689,0.1845,0.5665,0.3539,0.107,2026-02-23T18:45:45.940444,0,TIER_1_VERIFIED,1.1737
125,Fort Anne,Canada,44.7417,-65.5183,0.6953,0.6129,0.8052,0.4073,0.4782,upper_crust,20.8,10,,1.0,False,6.3857,0.4442,0.423,0.3079,0.2258,66.6041,83.7346,-10.511,26.0081,35.7317,18.8691,0.1845,0.5665,0.352,0.108,2026-02-23T18:45:45.940444,0,TIER_1_VERIFIED,1.1578
78,Fortaleza de Nossa Senhora da Assunção,Brazil,-3.7167,-38.5,0.6953,0.6311,0.9269,0.4723,0.5016,upper_crust,20.8,10,MID_ATLANTIC_RIDGE,1.3,False,6.3857,0.4467,0.0111,0.3479,0.2011,62.7839,84.6651,-10.511,27.4561,62.75,16.5364,0.1845,0.5665,0.3514,0.1009,2026-02-23T18:45:45.940444,0,TIER_1_VERIFIED,0.9716
126,Fort Beauséjour,Canada,45.8667,-64.2833,0.6953,0.6117,0.7999,0.4073,0.4772,upper_crust,20.8,10,,1.0,False,6.3857,0.4419,0.436,0.3063,0.2248,68.0892,83.7088,-10.511,24.5881,36.9667,19.1171,0.1845,0.5665,0.351,0.1073,2026-02-23T18:45:45.940444,0,TIER_1_VERIFIED,1.1195
9,Citadel Hill,Canada,44.6475,-63.5806,0.6953,0.6098,0.8063,0.4073,0.4777,upper_crust,20.8,10,,1.0,False,6.3857,0.4429,0.4204,0.3084,0.2239,67.4231,83.7518,-10.511,25.1821,37.6694,18.9741,0.1845,0.5665,0.3508,0.107,2026-02-23T18:45:45.940444,0,TIER_1_VERIFIED,1.1079
82,Forte de São Lourenço,Brazil,-12.8833,-38.6833,0.6953,0.6221,0.9128,0.4723,0.4976,upper_crust,20.8,10,MID_ATLANTIC_RIDGE,1.3,False,6.3857,0.449,0.0706,0.343,0.2037,61.9223,84.6059,-10.511,28.8328,62.5667,16.8289,0.1845,0.5665,0.3507,0.1014,2026-02-23T18:45:45.940444,0,TIER_1_VERIFIED,0.969
81,Forte do Barbalho,Brazil,-12.9667,-38.5167,0.6953,0.6218,0.9121,0.4723,0.4974,upper_crust,20.8,10,MID_ATLANTIC_RIDGE,1.3,False,6.3857,0.4487,0.0714,0.3427,0.2035,62.0813,84.6064,-10.511,28.6784,62.7333,16.8538,0.1845,0.5665,0.3504,0.1012,2026-02-23T18:45:45.940444,0,TIER_1_VERIFIED,0.9578
84,Fortaleza de Santo Antônio de Ratones,Brazil,-27.5833,-48.5667,0.6953,0.5207,0.882,0.4073,0.4712,upper_crust,20.8,10,,1.0,False,6.3857,0.4639,0.2289,0.3338,0.2276,53.8119,84.3046,-10.511,37.79,52.6833,16.4008,0.1845,0.5665,0.3494,0.1072,2026-02-23T18:45:45.940444,0,TIER_1_VERIFIED,1.0831
85,Fortaleza de São José da Ponta Grossa,Brazil,-27.5833,-48.5167,0.6953,0.5206,0.8819,0.4073,0.4712,upper_crust,20.8,10,,1.0,False,6.3857,0.4638,0.2289,0.3337,0.2275,53.8557,84.305,-10.511,37.7462,52.7333,16.4067,0.1845,0.5665,0.3493,0.1072,2026-02-23T18:45:45.940444,0,TIER_1_VERIFIED,1.081
80,Forte de Santo Inácio de Tamandaré,Brazil,-8.75,-35.1,0.6953,0.6215,0.9101,0.4723,0.497,upper_crust,20.8,10,MID_ATLANTIC_RIDGE,1.3,False,6.3857,0.4424,0.0393,0.3412,0.1961,65.6415,84.6694,-10.511,24.8777,66.15,17.1411,0.1845,0.5665,0.3466,0.0975,2026-02-23T18:45:45.940444,0,TIER_2_VERIFIED,0.7868
75,Forte de São João Batista do Brum,Brazil,-8.05,-34.8833,0.6953,0.6219,0.9105,0.4723,0.4972,upper_crust,20.8,10,MID_ATLANTIC_RIDGE,1.3,False,6.3857,0.4419,0.0347,0.3413,0.1955,65.9089,84.6756,-10.511,24.5708,66.3667,17.1456,0.1845,0.5665,0.3463,0.0972,2026-02-23T18:45:45.940444,0,TIER_2_VERIFIED,0.7731
