ID,Name,Country,Latitude,Longitude,earthResonance,spaceResonance,compositeResonance,earthSpaceCoupling,tectonicZone,isDeepSubduction
1,Citadel of Alessandria,Italy,44.9203,8.6064,0.4806,0.1656,0.3231,0.0796,MEDITERRANEAN_ALPINE,False
2,Alba Carolina Citadel,Romania,46.075,23.5708,0.4865,0.1628,0.3246,0.0792,MEDITERRANEAN_ALPINE,False
3,Fort Bourtange,Netherlands,53.0067,7.1922,0.4492,0.1798,0.3145,0.0808,,False
4,Naarden,Netherlands,52.295,5.16,0.4501,0.1791,0.3146,0.0806,,False
5,Palmanova,Italy,45.9056,13.31,0.4854,0.1657,0.3256,0.0804,MEDITERRANEAN_ALPINE,False
6,Fortress of Luxembourg,Luxembourg,49.6167,6.1333,0.4784,0.1742,0.3263,0.0833,MEDITERRANEAN_ALPINE,False
7,Suomenlinna,Finland,60.1472,25.0,0.4429,0.1887,0.3158,0.0836,,False
8,Kronborg Castle,Denmark,56.0389,12.6214,0.446,0.1838,0.3149,0.082,,False
9,Citadel Hill,Canada,44.6475,-63.5806,0.4777,0.2239,0.3508,0.107,,False
10,Landskrona Citadel,Sweden,55.8833,12.85,0.4461,0.1835,0.3148,0.0819,,False
11,Star Fort Matara,Sri Lanka,5.9486,80.5469,0.4688,0.1042,0.2865,0.0488,,False
12,Jaffna Fort,Sri Lanka,9.6625,80.0075,0.4684,0.1024,0.2854,0.048,,False
13,Galle Fort,Sri Lanka,6.03,80.2167,0.4686,0.104,0.2863,0.0487,,False
14,Batavia Castle,Indonesia,-6.1275,106.8106,0.5227,0.1204,0.3216,0.0629,RING_OF_FIRE,True
15,Fort Rotterdam,Indonesia,-5.1333,119.4056,0.5264,0.1263,0.3263,0.0665,RING_OF_FIRE,True
16,Manjarabad Fort,India,12.9667,75.75,0.4658,0.1036,0.2847,0.0483,,False
17,Aguada Fort,India,15.4922,73.7725,0.4644,0.1056,0.285,0.049,,False
18,Star Fort Jhansi,India,25.4583,78.5792,0.4923,0.1157,0.304,0.057,HIMALAYAN,False
19,Chaul Fort,India,18.5333,72.9167,0.4633,0.108,0.2857,0.05,,False
20,Castle of Good Hope,South Africa,-33.9258,18.4275,0.4624,0.1619,0.3121,0.0749,,False
21,Fort Jesus,Kenya,-4.0625,39.6797,0.4965,0.1252,0.3109,0.0622,EAST_AFRICAN_RIFT,False
22,Elmina Castle,Ghana,5.0825,-1.3481,0.473,0.1463,0.3096,0.0692,,False
