ID,Name,Country,Latitude,Longitude,Region,red,green,blue,spaceResonance,angleOfIncidence,ionosphericHeight,solarDeclination,solarElevation,hourAngle,lagTimeHours,solarFluxFactor,solarCyclePhase
1,Citadel of Alessandria,Italy,44.9203,8.6064,Europe,0.3652,0.3893,0.3098,0.1656,90.0,84.3453,-10.511,-21.4255,109.8564,21.9965,0.1845,0.5665
2,Alba Carolina Citadel,Romania,46.075,23.5708,Europe,0.3486,0.4039,0.3105,0.1628,90.0,84.4385,-10.511,-31.3902,124.8208,22.0478,0.1845,0.5665
3,Fort Bourtange,Netherlands,53.0067,7.1922,Europe,0.3685,0.4886,0.2962,0.1798,90.0,84.067,-10.511,-19.4426,108.4422,22.3559,0.1845,0.5665
4,Naarden,Netherlands,52.295,5.16,Europe,0.3704,0.4805,0.2964,0.1791,90.0,84.074,-10.511,-18.3132,106.41,22.3242,0.1845,0.5665
5,Palmanova,Italy,45.9056,13.31,Europe,0.36,0.4015,0.3098,0.1657,90.0,84.3555,-10.511,-24.5437,114.56,22.0402,0.1845,0.5665
6,Fortress of Luxembourg,Luxembourg,49.6167,6.1333,Europe,0.3689,0.4482,0.3012,0.1742,90.0,84.1732,-10.511,-19.2249,107.3833,22.2052,0.1845,0.5665
7,Suomenlinna,Finland,60.1472,25.0,Europe,0.3566,0.5669,0.287,0.1887,90.0,83.9609,-10.511,-26.5909,126.25,22.6732,0.1845,0.5665
8,Kronborg Castle,Denmark,56.0389,12.6214,Europe,0.3643,0.5228,0.2929,0.1838,90.0,84.0065,-10.511,-21.9367,113.8714,22.4906,0.1845,0.5665
9,Citadel Hill,Canada,44.6475,-63.5806,Americas,0.4429,0.4204,0.3084,0.2239,67.4231,83.7518,-10.511,25.1821,37.6694,18.9741,0.1845,0.5665
10,Landskrona Citadel,Sweden,55.8833,12.85,Europe,0.3641,0.521,0.2932,0.1835,90.0,84.0141,-10.511,-22.0991,114.1,22.4837,0.1845,0.5665
11,Star Fort Matara,Sri Lanka,5.9486,80.5469,Asia,0.2591,0.0067,0.3383,0.1042,90.0,85.0,-10.511,-85.1034,181.7969,20.2644,0.1845,0.5665
12,Jaffna Fort,Sri Lanka,9.6625,80.0075,Asia,0.2534,0.022,0.3379,0.1024,90.0,85.0,-10.511,-88.4991,181.2575,20.4294,0.1845,0.5665
13,Galle Fort,Sri Lanka,6.03,80.2167,Asia,0.2588,0.0069,0.3378,0.104,90.0,85.0,-10.511,-85.2899,181.4667,20.268,0.1845,0.5665
14,Batavia Castle,Indonesia,-6.1275,106.8106,Asia,0.3051,0.0124,0.358,0.1204,90.0,85.0,-10.511,-57.4811,208.0606,20.2723,0.1845,0.5665
15,Fort Rotterdam,Indonesia,-5.1333,119.4056,Asia,0.3232,0.0063,0.356,0.1263,90.0,85.0,-10.511,-46.6018,220.6556,20.2281,0.1845,0.5665
16,Manjarabad Fort,India,12.9667,75.75,Asia,0.2573,0.041,0.3314,0.1036,90.0,85.0,-10.511,-86.1716,177.0,20.5763,0.1845,0.5665
17,Aguada Fort,India,15.4922,73.7725,Asia,0.2625,0.0596,0.328,0.1056,90.0,85.0,-10.511,-83.049,175.0225,20.6885,0.1845,0.5665
18,Star Fort Jhansi,India,25.4583,78.5792,Asia,0.2758,0.1644,0.3304,0.1157,90.0,85.0,-10.511,-75.0518,179.8292,21.1315,0.1845,0.5665
19,Chaul Fort,India,18.5333,72.9167,Asia,0.2672,0.0864,0.3259,0.108,90.0,85.0,-10.511,-80.1928,174.1667,20.8237,0.1845,0.5665
